Activiteittype,Datum,Favoriet,Titel,Afstand,Calorieën,Tijd,Gem. HS,Max. HS,Aeroob TE,Gem. slagen,[],Gemiddeld tempo,Beste tempo,Stijging,Hoogteverlies,Gem. staplengte,Gemiddelde verticale ratio,Gem. verticale oscillatie,Gem. grondcontacttijd,Gem. GCT balans,Gem. slagen,[],Normalized Power® (NP®),L/R-balans,Training Stress Score®,Maximaal gemiddeld vermogen (20 min),Vermogen,Max. vermogen,Totaal slagen,Gemiddelde Swolf,Gem. slagsnelheid,Max diepte,Bodemtijd,Minimale watertemperatuur,Gastype,Oppervlakte-interval,Decompressie,Gewicht,Stroming,Oppervlakteomstandigheden,Watertype
running,2018-04-25 08:13:12,false,"Algorfa Hardlopen","10.91","582","57:16","129","159","2.3","169","229","5:15","4:28","62","64","1.12","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
hiking,2018-04-24 13:03:34,false,"Lo Crispin Wandelen","1.71","117","24:31","75","114","1.0","112","144","14:20","8:05","4","6","0.62","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-04-22 07:55:05,false,"Zaltbommel Hardlopen","16.32","993","1:14:20","147","175","4.2","181","188","4:33","3:31","7","7","1.21","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-04-18 19:24:28,false,"Zaltbommel Hardlopen","10.43","649","48:43","146","174","3.9","181","200","4:40","3:37","10","8","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-04-16 18:36:15,false,"'s-Hertogenbosch Fietsen","16.74","490","40:38","119","132","1.8","--","--","24.7","33.8","4","7","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-04-16 07:36:13,false,"Zaltbommel Fietsen","16.77","494","40:58","119","136","1.8","--","--","24.6","38.4","11","8","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-04-15 06:57:27,false,"Zaltbommel Hardlopen","14.26","916","1:06:55","150","184","4.9","179","198","4:41","3:58","19","18","1.19","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
walking,2018-04-08 13:25:53,false,"Coevorden Wandelen","8.17","550","1:43:04","90","119","1.3","113","122","12:37","10:31","18","19","0.70","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-04-08 08:16:31,false,"Coevorden Hardlopen","10.77","745","51:05","155","181","5.0","178","187","4:45","4:04","14","15","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-04-07 07:41:20,false,"Coevorden Hardlopen","10.30","618","49:52","140","171","3.5","176","188","4:50","4:01","11","10","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-04-01 08:30:27,false,"Zaltbommel Hardlopen","15.62","937","1:15:17","143","161","3.8","176","188","4:49","4:32","13","13","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-03-24 19:30:15,false,"Zaltbommel Hardlopen","12.08","748","55:07","152","165","4.5","180","191","4:34","4:08","13","13","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-03-18 08:06:31,false,"Zaltbommel Hardlopen","14.27","907","1:08:34","148","183","4.5","176","190","4:48","4:16","7","9","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-03-11 18:30:41,false,"Zaltbommel Hardlopen","7.26","469","36:39","142","165","3.4","171","183","5:03","4:14","6","7","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-03-09 17:43:21,false,"Zaltbommel Hardlopen","10.48","637","47:48","149","176","4.1","180","198","4:34","3:16","7","7","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-03-03 06:50:00,false,"Zaltbommel Hardlopen","12.11","713","57:41","142","164","4.1","177","188","4:46","4:18","12","12","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-02-25 07:35:53,false,"Zaltbommel Hardlopen","10.22","610","50:46","141","153","3.5","174","186","4:58","1:35","8","8","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-02-07 19:53:19,false,"Zaltbommel Hardlopen","6.87","421","36:45","138","168","3.2","167","190","5:21","4:29","6","6","1.12","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-02-04 10:58:26,false,"Zaltbommel Hardlopen","9.18","688","45:10","165","176","5.0","174","188","4:55","4:22","4","4","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
lap_swimming,2018-01-21 12:40:50,false,"Baanzwemmen","480","126","10:23","--","--","0.0","--","--","1:59","1:01","--","--","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","213","33","22","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-01-21 08:46:53,false,"Zaltbommel Hardlopen","14.38","927","1:12:09","144","169","4.0","174","191","5:01","3:30","15","12","1.15","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
